,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Fft_gx1,Fft_gy1,Fft_gz1,Fft_ax1,Fft_ay1,Fft_az1
910,-0.08,-0.02,0.1,118.38,-110.19,35.81,-9.16,-3.08,0.77,-0.71,0.01,0.67,0.24,614037,48297,W,-2.5143651968952065,0.036790199971483514,3.0046485256182383,0.7491336201997016,-2.106618116330318,0.6800620361279452,0.07312808978358576,1.090347212424271,0.1485867538220666,2.8210590498417867,1.0706473201157582,-2.6419152329822087
911,-0.08,-0.02,0.1,118.38,-110.19,35.81,-9.28,-3.04,0.66,-0.71,0.01,0.67,0.24,614079,48339,W,-2.972222810092656,0.05777046188314094,2.7375153143460307,2.9676170625307203,1.2703576205312752,0.6439554732291702,0.06756585341355609,-1.6546456368381979,0.15761686448590612,2.821146134241934,-2.655145723663023,0.9786743879336547
912,-0.06,-0.01,0.07,118.38,-110.19,35.81,-9.28,-3.04,0.66,-0.71,0.01,0.67,0.24,614122,48382,W,2.7203918604780566,0.09734165134080348,2.389855675644404,-1.0304031029929337,-1.605375450611738,0.5698309813203283,0.060396306612166106,1.953803170369827,0.25056551452721576,2.863674481275766,-0.5588623006563601,-2.0192268078926627
913,-0.06,-0.01,0.07,118.38,-110.19,35.81,-9.36,-3.04,0.5,-0.71,0.01,0.67,0.24,614165,48425,W,1.9236472023438642,0.14582077309586464,2.0186650415492715,1.317007147383146,1.780307418756916,0.4570464449774367,0.0533464666011569,-0.6745219304403888,0.408349827250104,2.985827174806693,1.6691479524809512,1.236448263651584
914,-0.06,-0.01,0.07,118.38,-110.19,35.81,-9.39,-3.04,0.46,-0.71,0.01,0.67,0.24,614207,48467,W,0.9124420006540511,0.19565244975415813,1.6297418451266188,-2.672791511894183,-1.1756689013670212,0.46675455053377596,0.0565738455706976,3.02231915201551,0.603547326435911,3.1208236547751866,-2.2908047797673294,-1.7527026676190953
915,-0.06,-0.01,0.07,118.38,-110.19,35.81,-9.51,-3.11,0.35,-0.71,0.01,0.67,0.24,614249,48509,W,-0.02501091895289247,0.24495342869045988,1.2078491028757028,-0.43865808112884347,2.1595060974650906,0.7446697748464177,0.07681883824953478,0.4651831068693725,0.8150903152511668,-3.140441721375283,0.005239954004829926,1.5823288311982215
916,-0.06,-0.01,0.07,125.31,-114.81,21.5,-9.51,-3.11,0.35,-0.71,0.01,0.67,0.24,614290,48550,W,-0.7910094895784884,0.2968595412414933,0.7558806742662798,1.715698132770773,-0.920398053273676,1.1590146214835322,0.10643203858608184,-2.1702102064406694,1.0318846490968188,3.0304766911153425,2.2443000417780437,-1.340724868330164
917,-0.06,-0.01,0.07,125.31,-114.81,21.5,-10.01,-3.23,0.23,-0.71,0.01,0.67,0.24,614334,48594,W,-1.4644062949161138,0.35146599728700834,0.28436436135578214,-2.6226137275471975,2.2246167737984077,1.593593524260508,0.13854278048994856,1.3791369944579703,1.246343372697501,2.828199227994782,-1.8842684888366164,2.0345217047401225
918,0.44,-1.49,3.22,125.31,-114.81,21.5,-10.01,-3.23,0.23,-0.71,0.01,0.67,0.24,614377,48637,W,-2.089395867373118,0.40431916137072743,-0.19452131879762516,-0.8186573602410196,-0.974766961950779,1.9806825931580296,0.16944941738033864,-1.4094165886950039,1.4522817770494,2.5734050626215015,0.2741786152460897,-0.8564624305230893
919,0.44,-1.49,3.22,125.31,-114.81,21.5,-15.21,-5.53,2.3,-0.71,0.01,0.67,0.24,614419,48679,W,-2.685664561142356,0.44836743977618054,-0.6691183378825042,1.1460982138583817,2.1343412983479166,2.277772677683191,0.19584263604236027,2.048586463246062,1.639718478905844,2.287726451835611,2.5135207556732753,2.553321565592458
920,-0.67,0.54,3.0,125.31,-114.81,21.5,-15.21,-5.53,2.3,-0.71,0.01,0.67,0.24,614462,48722,W,3.007225614090264,0.4765713877671336,-1.1319798127097924,-2.9847800789120775,-0.9912296639547791,2.4551399589079574,0.21001234921744902,-0.8004585422774082,1.7926520822812304,1.983928381992305,-1.5026660241377452,-0.3056848477061285
921,-0.67,0.54,3.0,125.31,-114.81,21.5,-9.28,-11.35,-2.87,-0.71,0.01,0.67,0.24,614504,48764,W,2.3740436983119606,0.4853894503419642,-1.5800915519049281,-0.7288249180218516,2.2298180548588236,2.4994019928261824,0.204537782225473,2.6299107692342045,1.8926850601838454,1.6683122000491026,0.8179873725928835,3.1380723079960435
922,-0.67,0.54,3.0,125.31,-114.81,21.5,-3.72,-3.8,3.41,-0.71,0.01,0.67,0.24,614546,48806,W,1.612398145949457,0.47594217228554186,-2.01169576712871,1.592243137448496,-0.7726387398823039,2.4143302919472345,0.18587639641501896,-0.22507056267567277,1.9248038131327454,1.332189506591584,-3.0732710008654056,0.3246584740559973
