,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx1,Fft_gx2,Fft_gx3,Fft_gy1,Fft_gy2,Fft_gy3,Fft_gz1,Fft_gz2,Fft_gz3
694,0.86,0.73,-2.89,101.56,-11.31,-30.69,-11.62,-0.2,1.69,-0.71,0.01,0.67,0.24,605171,39431,W,0.5366673589313696,0.1375036656939572,0.14395929247198183,0.31345010089218234,0.027298848013769757,0.03367174917449789,1.0812993278798002,0.043546939156387375,0.09999308107981607
695,0.86,0.73,-2.89,101.56,-11.31,-30.69,-13.03,1.1,0.16,-0.71,0.01,0.67,0.24,605213,39473,W,0.5848855544461324,0.13784976912328242,0.13193526609222525,0.2712719336390104,0.018732866733273155,0.02581909134670007,0.9553323561360012,0.045818486140499444,0.10194200336844586
696,0.86,0.73,-2.89,101.56,-11.31,-30.69,-14.6,1.41,1.19,-0.71,0.01,0.67,0.24,605255,39515,W,0.6161238219740119,0.14123358998755445,0.11570053359419598,0.2439552755481997,0.009885809845033754,0.019625925884286535,0.8620432703876515,0.0557671598104595,0.11203586882163295
697,0.86,0.73,-2.89,40.25,-4.25,21.5,-14.6,1.41,1.19,-0.71,0.01,0.67,0.24,605296,39556,W,0.6291496044224314,0.14434935512991168,0.09563682106805833,0.24047998711316884,0.005881857024217317,0.01659137045040835,0.8261300508922037,0.07333549490691742,0.12683139914460143
698,-1.17,0.72,-2.17,40.25,-4.25,21.5,-14.6,1.41,1.19,-0.71,0.01,0.67,0.24,605337,39597,W,0.625723298308991,0.14433262864415738,0.07291738556298297,0.2562281503666735,0.010398846176482021,0.017431431131384113,0.8371220835695922,0.09827190596035018,0.14676276960471618
699,-1.17,0.72,-2.17,40.25,-4.25,21.5,-10.43,5.2,2.92,-0.71,0.01,0.67,0.24,605378,39638,W,0.6079016568632533,0.14065493320298608,0.05408599983009275,0.2764288212923345,0.015297549690819265,0.020714118662132557,0.8557398017052156,0.12743534752380423,0.16958901625246584
700,-1.17,0.72,-2.17,40.25,-4.25,21.5,-11.96,5.81,3.41,-0.71,0.01,0.67,0.24,605418,39678,W,0.5786233539553179,0.1342140577506475,0.04664984666103706,0.28704103421337895,0.01681995348928376,0.023196874040166376,0.8481554864014028,0.14780806508989994,0.18606215408454002
701,-1.17,0.72,-2.17,40.25,-4.25,21.5,-10.7,-3.15,5.71,-0.71,0.01,0.67,0.24,605459,39719,W,0.5405700381995243,0.12465150538553785,0.049415579675877466,0.2816859166883976,0.017208694756079917,0.02356650309676098,0.8007932639734248,0.1600078174812627,0.1889154769754831
702,-1.17,0.72,-2.17,40.25,-4.25,21.5,-10.43,-3.42,3.61,-0.71,0.01,0.67,0.24,605499,39759,W,0.4932707329020055,0.11292775561652708,0.05508880241692666,0.26029475586638773,0.016861092946049778,0.02272456880248481,0.7138661382564663,0.16344974535785364,0.18401265989546248
703,0.49,0.16,0.49,40.25,-4.25,21.5,-10.43,-3.42,3.61,-0.71,0.01,0.67,0.24,605541,39801,W,0.4361764566055473,0.10100890395063074,0.058139971151493344,0.22569929685751766,0.015400356117421587,0.021486790595236963,0.5962111360673997,0.15585950919504213,0.16972869036791133
704,0.5,-0.13,0.16,40.25,-4.25,21.5,-10.43,-3.42,3.61,-0.71,0.01,0.67,0.24,605581,39841,W,0.37101305677243923,0.0889225941961228,0.055757644763374546,0.1828810210455532,0.013671693220473647,0.018697687174183002,0.46246626742532887,0.13998046930391067,0.1448121728469249
705,0.5,-0.13,0.16,40.25,-4.25,21.5,-9.09,-3.11,0.81,-0.71,0.01,0.67,0.24,605621,39881,W,0.3030787114241684,0.0769669662667552,0.045310772814723066,0.13784188100159014,0.011400122574485288,0.016308287657487982,0.3294193893175041,0.11543029748629373,0.11886981610852712
706,0.5,-0.13,0.16,40.25,-4.25,21.5,-9.39,-3.15,0.27,-0.71,0.01,0.67,0.24,605661,39921,W,0.24098805257091807,0.06359506488593385,0.029949325518144568,0.09543687260445383,0.008789716083626442,0.014350957881636348,0.21115087577643843,0.08608712803135952,0.08693656462982446
707,0.5,-0.13,0.16,40.25,-4.25,21.5,-9.32,-3.08,0.46,-0.71,0.01,0.67,0.24,605700,39960,W,0.1904617719287414,0.049138079160646754,0.020402395761661134,0.058682235545394236,0.006664395694832907,0.01244796974058401,0.11616685196710003,0.05453683089379824,0.05405737256315178
708,-0.03,-0.01,0.14,40.25,-4.25,21.5,-9.32,-3.08,0.46,-0.71,0.01,0.67,0.24,605740,40000,W,0.15012205572985324,0.03636375383364971,0.021774261998144556,0.030335095002320595,0.007089412172798447,0.012841708264415632,0.04720172756146936,0.02615181027594488,0.026064371818887325
709,-0.03,-0.04,0.15,40.25,-4.25,21.5,-9.32,-3.08,0.46,-0.71,0.01,0.67,0.24,605779,40039,W,0.11620811270067027,0.025734762066718528,0.026026978566472476,0.0192264312737285,0.009246891357679745,0.015340158552320122,0.009300783638187161,0.004810732313583544,0.003435783036740358
710,-0.03,-0.04,0.15,40.25,-4.25,21.5,-9.36,-2.92,0.62,-0.71,0.01,0.67,0.24,605821,40081,W,0.08746620233360425,0.01781027823259042,0.024788906818272304,0.03366265430928549,0.013134640866091502,0.012022348908153594,0.028903122494343656,0.023800030471681104,0.0017177589346373796
711,-0.03,-0.04,0.15,40.25,-4.25,21.5,-9.36,-2.81,0.66,-0.71,0.01,0.67,0.24,605861,40121,W,0.06557573609598266,0.011267365090988494,0.018949099992884934,0.0598829891951212,0.022749386454838757,0.007426739439586435,0.07954389535109326,0.05614218942506809,0.03167511757721858
712,-0.03,-0.04,0.15,40.25,-4.25,21.5,-9.47,-2.89,0.39,-0.71,0.01,0.67,0.24,605899,40159,W,0.05338492229231376,0.0030636189750848294,0.011939251852229847,0.10238558039182315,0.03484629350853207,0.01770715293393459,0.19402772328902895,0.0812074463565009,0.07642098226146217
713,-0.09,-0.01,0.15,40.25,-4.25,21.5,-9.47,-2.89,0.39,-0.71,0.01,0.67,0.24,605940,40200,W,0.05438649177916088,0.007458097801655741,0.004943934176125598,0.16350331917169317,0.04619986091381329,0.03362440498386997,0.3551195710726363,0.0979990087847223,0.13490902235812624
