,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx1,Fft_gx2,Fft_gx3,Fft_gy1,Fft_gy2,Fft_gy3,Fft_gz1,Fft_gz2,Fft_gz3
65,-0.01,-0.72,1.34,-2.12,12.94,-53.44,-4.33,-0.04,2.73,-0.13,0.5,0.1,0.85,369252,12464,W,0.17872922459875226,0.04156762273260652,0.049773668541821185,0.27030194796079376,0.025665303221438677,0.036435017108256126,0.336408050405644,0.015510924122529012,0.011916710157362582
66,-0.01,-0.72,1.34,-2.12,12.94,-53.44,-4.44,0.46,2.92,-0.13,0.5,0.1,0.85,369942,13154,W,0.2547845678398652,0.04832978115600048,0.06239869209230951,0.26655752171677255,0.02808089044006949,0.03795059464320148,0.3418786719441132,0.017669242343107298,0.015842991087776623
67,-0.13,-0.72,1.28,-2.12,12.94,-53.44,-4.44,0.46,2.92,-0.13,0.5,0.1,0.85,369973,13185,W,0.3279985924822423,0.0532685009157892,0.07392773453637377,0.2503518254148123,0.03073464913767319,0.03887497659070276,0.3354909362735583,0.02049996793319123,0.01886535104319254
68,-0.13,-0.72,1.28,-2.12,12.94,-53.44,-8.39,0.69,4.45,-0.13,0.5,0.1,0.85,370012,13224,W,0.3889278182430244,0.055819152940975336,0.07978020364841863,0.22247053523911575,0.032161971770723774,0.03866923094648382,0.3160269578819876,0.02244719660318627,0.019110901157880007
69,-0.13,-0.72,1.28,-2.12,12.94,-53.44,-8.31,0.57,4.37,-0.13,0.5,0.1,0.85,370030,13242,W,0.4301498684776993,0.05537855441323943,0.07978597135039507,0.18468188117473971,0.031885532751248814,0.037489329847712485,0.2856331614546289,0.02428973872797252,0.019315617187960658
70,-1.34,-0.09,0.96,-2.12,12.94,-53.44,-8.31,0.57,4.37,-0.13,0.5,0.1,0.85,370054,13266,W,0.44755472670769625,0.052224992946656015,0.07505045337423914,0.1402160236357509,0.029591056023732906,0.0345502774275371,0.2493549268138309,0.024164467151084956,0.017574303243076222
71,-1.34,-0.09,0.96,-2.12,12.94,-53.44,-7.89,0.3,4.8,-0.13,0.5,0.1,0.85,370072,13284,W,0.44017764613219346,0.04662925644065962,0.0644109261727453,0.09324266532677744,0.025799543044477003,0.029894449823792323,0.2144122857024927,0.02348867719317884,0.015068572634383074
72,-1.21,-0.17,0.86,-2.12,12.94,-53.44,-7.89,0.3,4.8,-0.13,0.5,0.1,0.85,370091,13303,W,0.41182582415466307,0.038763715739393766,0.05030827619622615,0.04902423689017623,0.020319652055297524,0.024516599739735637,0.18814853100246876,0.02101153666329289,0.012818218022539896
73,-1.21,-0.17,0.86,-2.12,12.94,-53.44,-8.08,0.07,5.25,-0.13,0.5,0.1,0.85,370104,13316,W,0.3713740819967105,0.030501413397769947,0.03440482878669599,0.015126491673995372,0.015698755105920604,0.019066568116938094,0.17483521534599747,0.01739891457815766,0.007998724414231289
74,-1.05,-0.15,0.76,-2.12,12.94,-53.44,-8.08,0.07,5.25,-0.13,0.5,0.1,0.85,370118,13330,W,0.3307946196434404,0.023285594006485458,0.01860775381599518,0.008436549944512175,0.01197190605052898,0.015202343716825788,0.17564362876429204,0.013199989561067932,0.005192845785200045
75,-1.05,-0.15,0.76,-2.12,12.94,-53.44,-8.08,0.07,5.25,-0.29,0.33,0.57,0.69,370132,13344,W,0.3007819013779243,0.0185922633246099,0.00775280745538611,0.009271852601066093,0.009938156939254435,0.012986082551585034,0.18739341866867268,0.012765195987252476,0.006038113601817143
76,-1.05,-0.15,0.76,-2.12,12.94,-53.44,-8.43,-0.16,5.68,-0.29,0.33,0.57,0.69,370146,13358,W,0.2845500457691415,0.016487831791978522,0.010402893549355191,0.015929074620745432,0.01171545213004683,0.01053564260270784,0.20316160504858008,0.016157279423306754,0.01086077854041445
77,-1.05,-0.15,0.76,-2.12,12.94,-53.44,-8.08,-0.2,5.83,-0.29,0.33,0.57,0.69,370161,13373,W,0.27520614148393446,0.015237440316688706,0.015694898175829777,0.0462333079848527,0.01748634895681117,0.011034362546626056,0.21518680669383278,0.02171254523167183,0.014753608138294712
78,-0.78,-0.14,0.65,-2.12,12.94,-53.44,-8.08,-0.2,5.83,-0.29,0.33,0.57,0.69,370175,13387,W,0.26120406357324244,0.011499366930349487,0.017258891012177927,0.08452844540729533,0.026978955510939373,0.014145601223088163,0.21817490454117416,0.02608006579734499,0.01950036340608777
79,-0.78,-0.14,0.65,-2.12,12.94,-53.44,-8.08,-0.2,5.83,-0.29,0.32,0.6,0.68,370190,13402,W,0.23602951068116237,0.00746450136172282,0.016635364517525852,0.12496444750014535,0.0372895874262705,0.01767057319754785,0.21174050851744486,0.029001312054587093,0.027927733698607106
80,-0.78,-0.14,0.65,-2.12,12.94,-53.44,-7.39,-0.16,5.71,-0.29,0.32,0.6,0.68,370257,13469,W,0.1993240878342461,0.003589522837596478,0.015131216266385819,0.16532815268179338,0.047190794679691575,0.02169148203954832,0.19978163169736707,0.03168878810948333,0.034689224810960845
81,-0.48,-0.2,0.63,-2.12,12.94,-53.44,-7.39,-0.16,5.71,-0.29,0.32,0.6,0.68,370274,13486,W,0.1517516597702468,0.008479826381015519,0.013207438676590752,0.20409087947329393,0.05633989944910037,0.02404756372188371,0.1920007630173627,0.035868805652467396,0.043980130894508355
82,-0.32,-0.59,0.14,-2.12,12.94,-53.44,-7.39,-0.16,5.71,-0.29,0.32,0.6,0.68,370289,13501,W,0.09667483800019572,0.01682318494818629,0.01595966614078769,0.23921885396315906,0.06327658257652297,0.026568318346394792,0.20143623730068388,0.04234095539542926,0.05287813891888149
83,-0.32,-0.59,0.14,-2.12,12.94,-53.44,-8.39,-0.43,7.63,-0.29,0.32,0.6,0.68,370303,13515,W,0.057922261049198204,0.024051327957264106,0.023772293237928677,0.26814480567990107,0.06803056619228905,0.025598442458219607,0.23382350737326482,0.04927858037749427,0.06121513534837929
84,-0.32,-0.59,0.14,-2.12,12.94,-53.44,-6.17,-0.58,6.82,-0.29,0.32,0.6,0.68,370434,13646,W,0.09367419240505419,0.028726506153906647,0.036015040042309536,0.2880726090524054,0.06897072443521038,0.024834787674294242,0.2846597729700467,0.054816058129941087,0.07286084092761096
85,-0.19,0.13,0.27,-2.12,12.94,-53.44,-6.17,-0.58,6.82,-0.29,0.32,0.6,0.68,370463,13675,W,0.1646414177442991,0.03205565827009755,0.047428641876661376,0.29741567182520434,0.06679559512849707,0.02685961959093898,0.345407284268135,0.059301552587125876,0.08012086895142652
86,-0.19,0.13,0.27,-2.12,12.94,-53.44,-5.13,-0.5,5.83,-0.29,0.32,0.6,0.68,370481,13693,W,0.23853480186191212,0.031832307204066754,0.05889440375885133,0.29916264891055316,0.06226751070298289,0.030183755548799093,0.4052582374296179,0.06009629281084911,0.08995577226988327
87,-0.54,0.4,-0.51,-2.12,12.94,-53.44,-5.13,-0.5,5.83,-0.29,0.32,0.6,0.68,370503,13715,W,0.30692956626147044,0.03040600963454086,0.06831271071270628,0.3012464404859345,0.056749651043516244,0.035944711490810397,0.4545370531985241,0.05744633171052274,0.09813365468493938
88,-0.54,0.4,-0.51,-2.12,12.94,-53.44,-4.48,-0.5,4.76,-0.29,0.32,0.6,0.68,370515,13727,W,0.3674163480172594,0.026055388722142962,0.07296696082258507,0.31210718505621815,0.05176407480020147,0.03984980123481092,0.48939700158113075,0.04982218821031641,0.1007191071389421
89,-1.06,0.64,-1.18,-2.12,12.94,-53.44,-4.48,-0.5,4.76,-0.29,0.32,0.6,0.68,370529,13741,W,0.4195700416770953,0.020283920427893995,0.07606006668652279,0.3340752097984574,0.04843522690315416,0.043806843984953846,0.5139277555922068,0.039289764476681886,0.10475855118508816
90,-1.06,0.64,-1.18,-2.12,12.94,-53.44,-4.48,-0.5,4.76,-0.33,0.27,0.62,0.66,370544,13756,W,0.4633029603597728,0.013269359903690629,0.07386108493359897,0.36025157651802775,0.04795340681083982,0.044104552262145616,0.5384225225843499,0.02706727626432629,0.10208158295598892
91,-1.06,0.64,-1.18,-2.12,12.94,-53.44,-4.06,-1.19,4.26,-0.33,0.27,0.62,0.66,370558,13770,T,0.499474322215388,0.006146755447017837,0.06772263535440402,0.3841791173995776,0.04763175272056953,0.03858677107792887,0.5725647340940004,0.022310779121271287,0.09588942046703186
92,-1.71,1.34,-1.81,-2.12,12.94,-53.44,-4.06,-1.19,4.26,-0.33,0.27,0.62,0.66,370573,13785,T,0.5296158656036574,0.009909643193689036,0.05998221127783597,0.405936493627761,0.04882173175556973,0.02947103958658865,0.618301955139529,0.02775034146802434,0.09050907476574954
93,-1.71,1.34,-1.81,-2.12,12.94,-53.44,-4.06,-1.19,4.26,-0.38,0.25,0.6,0.66,370592,13804,T,0.5538455449007558,0.018776996921892903,0.04737187923650697,0.4259533353689613,0.05192057041198494,0.027645162654165178,0.6704567714079017,0.03825439404458044,0.07907785242993273
94,-1.71,1.34,-1.81,-2.12,12.94,-53.44,-4.79,-4.1,3.53,-0.38,0.25,0.6,0.66,370608,13820,T,0.5707760066447145,0.02591454401054487,0.03515530968906338,0.44368183784590365,0.0562052041347305,0.04103836003075919,0.7213730338204078,0.04546446860679212,0.06919184177019425
95,-2.12,1.02,-2.76,-2.12,12.94,-53.44,-4.79,-4.1,3.53,-0.38,0.25,0.6,0.66,370622,13834,T,0.5789195225266968,0.03108718132960406,0.023106273866199754,0.4562260904545744,0.06098435457747634,0.059535900105526604,0.7652914686469213,0.04928474928307809,0.060389281528014885
96,-2.12,1.02,-2.76,-2.12,12.94,-53.44,-4.79,-4.1,3.53,-0.44,0.22,0.56,0.67,370641,13853,T,0.5806906777101062,0.033166893529276646,0.008030821465699823,0.45897361426360767,0.06741862368418451,0.07554413361815307,0.8071121640826135,0.051926929429049196,0.04499329300652042
97,-2.12,1.02,-2.76,-2.12,12.94,-53.44,-6.2,-7.13,3.11,-0.44,0.22,0.56,0.67,370655,13867,T,0.5836055379578059,0.03448617741707307,0.011192112821174573,0.4460850715712089,0.07348564314854622,0.08519738663212593,0.8606068290540991,0.05612631574304865,0.03357210622761045
98,-2.12,1.02,-2.76,-2.12,12.94,-53.44,-4.59,-8.62,2.27,-0.44,0.22,0.56,0.67,370714,13926,T,0.5939456832503803,0.03589422017896719,0.02736868301860197,0.4140019103689034,0.077542221034747,0.08700761036655207,0.9311676702910393,0.06352674944185883,0.04496463825059686
99,-2.33,1.05,-3.14,-2.12,12.94,-53.44,-4.59,-8.62,2.27,-0.44,0.22,0.56,0.67,370730,13942,T,0.609683904062405,0.03868303329782904,0.04257010535450522,0.3643314589805426,0.07922103994448368,0.08202529639393163,1.007130631674592,0.07481916453912904,0.07135978128454715
100,-2.12,-0.43,-3.34,-2.12,12.94,-53.44,-4.59,-8.62,2.27,-0.44,0.22,0.56,0.67,370746,13958,T,0.6212812234964377,0.04243869797210328,0.05214720077069559,0.3043555672372371,0.07794864857708052,0.07064457601220114,1.067245006857128,0.08937871641864041,0.09515220720978682
